English,Serbian
share,Objaviti
camera,Kamera
mm-hmm,mm-hmm
within,iznutra
card,karta
fly,letjeti
ben,Ben
girlfriend,djevojka
laugh,smeh
smell,miris
broken,slomljen
mum,mama
honest,iskren
often,cesto
starting,pocetak
calls,pozivi
y,i
spent,proveden
third,trece
english,Engleski
visit,posjetiti
mama,mama
judge,sudija
window,prozor
hungry,Gladan
dare,izazov
relationship,veza
moved,premjesten
prove,dokazati
private,privatan
wall,Zid
seat,Glavni ured
i-i,i ja
position,pozicija
lieutenant,porucnice
realize,razumjeti
lt,lt
especially,posebno
machine,masina
walking,Hodanje
art,umjetnost
pleasure,zadovoljstvo
bloody,izbusen
college,fakultet
french,Francuski
involved,ukljucen
cry,plakati
became,postao
lived,zivjeti
impossible,nemoguce
obviously,ocigledan
neither,ni
accept,prihvatiti
boyfriend,decko
besides,Pored toga
queen,kraljica
teacher,ucitelj
cops,policajci
sake,ruke
loves,voljeti
carry,prenijeti
teach,uciti
apartment,stan
upset,uznemiren
green,zelenilo
la,La
liked,voljen
cute,slatko
evil,zli
professor,profesor
contact,kontakt
joke,sala
cop,policajac
huge,ogroman
holy,Svet
store,trgovina
jail,zatvor
likes,poput
lawyer,pravnik
doubt,sumnjati
continue,Nastavi
appreciate,cijeniti
cat,macka
shop,prodavnica
driving,voznja
congratulations,cestitamo
wrote,napisao
village,selo
quit,Odustati
field,polje
james,James
wine,vino
decision,odluka
south,Soutly
sleeping,spavanje
slow,spor
laughter,smeh
island,Ostrvo
glass,staklo
beginning,pocetak
cash,Novac
dying,umiruci
hundred,stotinu
whose,ciji
difference,razlika
plane,avion
push,gurati
continues,nastavlja se
mmm,mmm
singing,pjevati
eating,jesti
north,sjever
mrs,Gdja
tree,drvo
madam,madam
gift,poklon
truck,kamion
putting,postavljanje
bear,medvjed
board,"Odbor, odbor"
grab,grabiti
beer,pivo
stuck,zaglaviti
magic,magija
support,podrska
rules,Pravila
grunts,Grunts
partner,partner
reach,doseg
wind,vjetar
colonel,Pukovnik
max,Max
immediately,odmah
seconds,sekundi
thousand,jedna hiljada
gives,to
experience,iskustvo
cheers,zivio
victim,zrtva
upon,na
computer,racunar
christ,Krist
planet,Planeta
promised,obecao
bus,autobus
henry,Henry
dirty,prljav
search,Pretraziti
staying,prebivaliste
dreams,snovi
arrest,hapsenje
holding,zadrzavanje
suddenly,iznenada
usually,Obicno
lots,Dosta
shoes,Cipele
er,posudje
jump,skok
rid,da se oslobodim
yo,yo
knock,kucati
owe,duzan
harry,umetnuti
grow,rasti
worst,najgori
river,rijeka
aunt,tetka
patient,pacijent
kitchen,kuhinja
aah,Aah
fat,debeo
passed,polozen
m,m
final,finale
summer,ljeto
bob,bob
listening,Slusanje
escape,bijeg
everywhere,svuda
moon,mjesec
arms,oruzje
turns,okret
address,adresa
ow,primjena
match,podudarati
gasps,plin
grand,veliki
yep,IEP
shh,Shh
nervous,nervozan
de,Da se desi
choose,izabrati
themselves,sami
decide,odluciti
mate,prijatelj
drinking,pijuci
press,presa
bother,gnjaviti
foot,stopalo
hadn,Hadn
blame,kriviti
crap,Sranje
drugs,lijek
type,vrsta
rings,Prstenovi
mission,misija
named,nazvan
heaven,nebo
picked,izabran
paris,Pariz
race,utrka
risk,rizikovati
books,knjige
further,dalje
danny,Danny
action,postupak
allowed,dozvoljen
orders,naredjenja
learned,naucen
price,Cijena
arrived,stigao
nick,Nadimka
otherwise,u suprotnom
pictures,Slike
fit,prikladan
smoke,dim
favor,luk
played,odigran
notice,posta
awesome,fenomenalan
smile,osmijeh
director,direktor
guard,strazar
begin,pocnite
spot,mjesto
surprised,zapanjen
innocent,nevin
narrator,pripovjedac
herself,sama
london,London
feelings,emocije
enemy,neprijateljski
battle,bitka
ourselves,sam i
alex,Alex
dollars,Americki dolar
allow,dozvola
nine,devet
gay,gay
department,odjel
guilty,kriv
apart,zasebno
earlier,ranije
duty,duznost
jim,zaglaviti
suit,odijelo
bell,zvono
west,zapad
legs,noge
hero,heroj
destroy,unistiti
stage,faza
bunch,gomila
according,prema
chicken,piletina
bigger,veci
grunting,gundjati
low,niska
helping,pomaganje
admit,pustiti
closed,zatvoren
names,Imena
witness,do
upstairs,gore
arm,ruk
steal,ukrasti
jimmy,Jimmy
kick,probusiti
twice,dva puta
cross,preci
ways,napraviti
sergeant,narednik
indeed,stvarno
gas,plin
keeping,skladiste
energy,energije
pregnant,trudna
waste,gubitak
helped,pomogao
fired,otpusten
favorite,omiljen
tony,Tony
taste,ukus
locked,zakljucan
places,mesta
writing,pisanje
adam,Adam
brothers,braca
starts,pocnite
prince,princ
form,obrazac
sold,prodav
silly,blesav
mention,spomenuti
build,izgraditi
throat,grlo
hole,rupa
figured,shvacen
track,pojma
ringing,zvonjenje
lock,zakljucati
leg,stopalo
above,gore
hiding,skrivanje
steve,Steve
seemed,naprijed
breakfast,dorucak
engine,motor
written,napisan
complete,potpun
video,video
applause,aplauz
however,kako god
pressure,pritisak
fresh,svjez
weapon,oruzje
sky,nebo
ms.,gdja.
stole,ukradena
study,studija
burn,izgorjeti
reading,citanje
crowd,gomila
treat,tretirati
roll,valjak
double,dvostruko
spirit,duh
danger,opasnost
cost,trosak
empty,prazan
level,vodjenje
memory,memorija
itself,sam
acting,glumacki
interest,interesovanje
nose,nos
plans,planovi
following,sljedeci
bathroom,Kupatilo
built,Izgradjen
closer,blize
ray,zraka
sarah,Sarah
band,traka
groans,sustinski
apparently,ocigledan
excited,uzbudjen
richard,Richard
losing,gubitak
animals,zivotinje
flight,let
nature,priroda
raise,podici
pop,svestenik
client,klijent
bomb,bomba
neck,vrat
suspect,osumnjiceni
warm,toplo
extra,dodatno
bottle,flasa
van,eksterijer
heavy,tvrd
mommy,mama
dogs,psi
wild,divlji
ridiculous,smijesan
simply,jednostavno
lee,slobodno vrijeme
animal,Beastly
showed,pokazano
billy,Billy
shooting,pucnjava
keeps,zadrzati
camp,kamp
guns,puske
medical,medicinski
shame,sramota
hoping,nada
whom,koga
bird,ptica
majesty,Velicanstvo
flowers,cvijece
famous,poznat
asleep,zaspati
beauty,ljepota
driver,vozac
keys,kljucevi
rain,kisa
awful,uzasan
large,veliki
local,lokalni
deserve,zasluziti
goddamn,prokletstvo
stone,kamen
jane,ja ne
grace,milost
consider,razmatrati
weekend,vikend
wondering,prilijepljen
lay,lezati
plenty,Dosta
willing,voljan
pants,hlace
sweetheart,duso
skin,koza
excellent,odlican
asshole,supak
beach,Plaza
c,c
faith,vjera
beg,moliti
fuckin,jebeni
responsible,odgovoran
military,vojni
cheering,navijajuci
opportunity,prilika
common,cesto
bottom,dno
german,njemacki
whoever,ko god
cook,Kuhati
walked,hodao
papers,papiri
justice,pravda
hall,dvorana
commander,zapovjednik
drug,lijek
main,glavni
knife,noz
devil,djavo
necessary,neophodan
although,i ako
princess,princeza
lights,Svijetla
flying,leteci
dick,kurac
rose,ruza
knowing,znanje
clearly,jasno
hat,sesir
agreed,dogovoren
johnny,Johnny
corner,ugao
code,kodeks
note,Biljeska
tommy,Tommy
due,zrelost
correct,ispravan
apologize,izviniti se
language,Jezik
stars,Zvijezde
faster,brzo
cars,automobili
folks,narode
bullshit,Sranje
i.,I.
fellow,kolega
several,nekoliko
grandma,baka
shows,prikazivanje
leader,lider
leaves,lisce
restaurant,Restoran
east,Istok
shouting,vikanje
blind,slijepi
ghost,duh
cup,kornet
gotten,nabavljen
tight,cvrst
conversation,razgovor
tells,dati
lies,lazi
nor,niti
pulled,povucen
hanging,viseci
speed,brzina
stories,Price
health,zdravlje
advice,savjet
held,Odrzan
uh-huh,Uh hauh
murdered,ubijen
beyond,vani
rule,pravilo
hardly,tesko
possibly,vjerovatnost
inspector,inspektor
cousin,rodjak
trial,Sudjenje
emergency,hitan
ought,treba
eddie,Eddie
somehow,nekako
hearing,sluh
states,Drzave
account,racun
spoke,on je govorio
file,dosje
understood,shvacen
angel,andjeo
tape,traka
milk,mlijeko
powerful,mocan
weapons,oruzje
practice,vjezbati
manager,menadzer
pardon,oprostiti
vote,glasati
jake,Jake
national,nacionalni
career,karijera
minister,ministar
super,Super
taught,nauciti se
robert,Robert
biggest,najveci
plays,igranje
natural,prirodnjak
dancing,plesati
copy,kopija
plus,plus
martin,Martin
cake,kolac
freedom,sloboda
among,medju
breath,udisati
operation,Raditi
chris,Chris
crew,posada
